Postcode;Straat;Huisnummer van ;Huisnummer tot en met;Woonplaats;Voorkeursblok Sint Jan;Blokouderling;;;;;;;
2801 SL;Vincent Hamanstraat;2;4;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SM;Helene Servaesstraat;1;13;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SM;Helene Servaesstraat;2;14;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SN;Aart Luteijnstraat;1;3;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SN;Aart Luteijnstraat;2;4;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SP;Roos van Dekemastraat;1;25;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SP;Roos van Dekemastraat;2;20;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SR;Majoor Fransstraat;1;37;GOUDA                   ;B-2;onbekend;;;;;;;
2801 ST;Majoor Fransstraat;2;40;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SV;Ferdinand Huyckstraat;1;23;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SW;Eline Verestraat;1;7;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SW;Eline Verestraat;2;8;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SX;Jan Compagniestraat;1;7;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SX;Jan Compagniestraat;2;8;GOUDA                   ;B-2;onbekend;;;;;;;
